"Subgroup","X1","X2","X3","X4","X5"
1,9.40220751474568,9.52036402167445,9.74473413873111,9.57042361584772,9.42856296580766
2,9.60372903847431,9.44915771488219,9.86390650373666,9.82964593819389,9.44486746905931
3,9.64853623269772,9.84002962120953,9.76427501140684,9.73902638330326,9.53712319935476
4,9.56098466277522,10.1202794989736,9.98279246454178,9.9025817519882,9.93710980431103
5,9.76298799760778,9.68062963912104,10.0290288896341,9.77773777637153,9.74452736018455
6,10.0587878919214,10.0602660902792,10.0097981870116,9.94795627012145,9.83367625914835
7,9.97825192375136,10.1258826519396,10.1203202708183,9.93024448169743,9.91550048286092
8,9.98513230672,10.1287777552636,10.1738372803603,10.0562927923839,10.1269766449307
9,9.98399389620169,9.99611192981108,10.5666362059051,9.97095865419811,9.92785358325302
10,9.80780239045313,10.1978715826896,10.2045890592433,9.97180082263238,9.91954498007277
11,10.3539111083279,10.2421512260403,10.2198110862546,10.5311609550806,10.3829334872289
12,10.0335355683086,10.4370800089304,10.458299838823,10.3848431656561,10.1285623595695
13,10.4320447582105,10.3651868181634,10.5676247439954,10.1702040325984,10.1494348413511
14,10.6758392195931,10.6360196922134,10.6549522060471,10.3293777440769,10.1356116637465
15,10.2413107626963,10.5017076081771,10.5891399369354,10.3063885136262,10.1915031679681
16,10.6315834397799,10.7842225093106,10.566816869378,10.8771899733852,10.3612723991579
17,10.5554072186949,10.5373602911054,10.9842146185187,10.8073882622545,10.6032241883645
18,10.427336270865,10.5741346080231,10.8107103365438,10.6339124520219,10.7401614313658
19,10.5043787993012,11.3177349376098,10.8017520179704,10.818321214148,10.7429803583385
20,10.5597695739638,10.8374713617759,10.9645580646588,10.7378490078122,10.6454514054357
