"Subgroup","X1","X2","X3","X4","X5"
1,10.0238999749538,10.7609447286716,10.6190324235935,10.0536154581474,10.1324716691836
2,9.71816141452797,9.95961004586848,9.94673961426842,10.0884077874244,9.19431580083171
3,9.7131127353704,9.45606371847144,9.29738904177695,10.656338466391,10.0847921733489
4,10.3538601995908,9.73409222589038,9.8444880543713,9.91237984842661,10.4946700185666
5,9.59376296855858,10.194183991562,10.0356828892293,10.0672261535539,10.8150296072962
6,10.782117586197,9.84975885133209,10.338005201627,10.4673535492276,10.5204703968802
7,9.96387216241366,9.77524945458009,10.3850111873937,10.4216724093508,10.3027099055184
8,10.0858155306517,9.86243310634862,10.2737237717666,10.4581052441521,9.30930784035427
9,9.70458891810417,10.0361986588557,9.44189026008021,9.76901279957618,9.75939731679729
10,9.77024452409469,10.6394035084583,10.3398572182533,10.8009930921171,9.85918141736695
11,9.4731935470779,9.96457395514445,9.82137711342911,10.0266803483721,10.2814095611028
12,9.92682984465091,10.4323197984606,10.0699210800645,10.7467407378827,9.95773146639849
13,10.1675929619698,10.2523016462602,10.0298204708695,9.45963892558771,9.49654054877593
14,10.1297217376646,9.95454404179754,10.1712667059882,10.0083934345417,10.6737742832376
15,9.6873854051781,9.38683919884376,10.0098699931305,10.4999658283877,10.3645565167184
16,9.6845512116584,9.79155307297899,9.33300996096573,9.71390312511088,10.0949721089964
17,9.79912051266286,9.80405181874461,10.2945983859094,9.6989244127129,10.4872434441303
18,10.5984242679385,10.0188617731046,10.1544106273399,9.62458451855724,9.46449028510601
19,9.5450785517337,10.5200794710667,9.89373934988871,9.5789946882645,10.2643281191159
20,9.92837936224792,10.9172315895324,10.0472578044187,9.82513618672784,9.79083504947463
